"","IE_7_8.1","IE_7_8.2","IE_7_8.3","IE_7_8.4","IE_7_8.5","IE_7_8.6","IE_7_8.7"
"NÚMERO SECUENCIAL",699644,2418519,699648,699649,699650,2418554,252356
"DESCRIPCIÓN DE LA SERIE","Activos de reserva. ","Activos de reserva. Divisas convertibles ","Activos de reserva. Posicion de reserva en el FMI ","Activos de reserva. Deg ","Activos de reserva. Oro monetario","Otros activos de Reserva","PII. Activos de reserva. Oro en miles de onzas troy  "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Onzas troy"
"ABR 1967","_","_","_","_","_","_",22414
"MAY 1967","_","_","_","_","_","_",22414
"JUN 1967","_","_","_","_","_","_",22414
"JUL 1967","_","_","_","_","_","_",22414
"AGO 1967","_","_","_","_","_","_",22417
"SEP 1967","_","_","_","_","_","_",22417
"OCT 1967","_","_","_","_","_","_",22417
"NOV 1967","_","_","_","_","_","_",22417
"DIC 1967","_","_","_","_","_","_",22417
"ENE 1968","_","_","_","_","_","_",22417
"FEB 1968","_","_","_","_","_","_",22417
"MAR 1968","_","_","_","_","_","_",22420
"ABR 1968","_","_","_","_","_","_",22420
"MAY 1968","_","_","_","_","_","_",22420
"JUN 1968","_","_","_","_","_","_",22420
"JUL 1968","_","_","_","_","_","_",22420
"AGO 1968","_","_","_","_","_","_",22420
"SEP 1968","_","_","_","_","_","_",22420
"OCT 1968","_","_","_","_","_","_",22423
"NOV 1968","_","_","_","_","_","_",22423
"DIC 1968","_","_","_","_","_","_",22423
"ENE 1969","_","_","_","_","_","_",22423
"FEB 1969","_","_","_","_","_","_",22423
"MAR 1969","_","_","_","_","_","_",22423
"ABR 1969","_","_","_","_","_","_",22423
"MAY 1969","_","_","_","_","_","_",22423
"JUN 1969","_","_","_","_","_","_",22423
"JUL 1969","_","_","_","_","_","_",22426
"AGO 1969","_","_","_","_","_","_",22423
"SEP 1969","_","_","_","_","_","_",22423
"OCT 1969","_","_","_","_","_","_",22423
"NOV 1969","_","_","_","_","_","_",22423
"DIC 1969","_","_","_","_","_","_",22409
"ENE 1970","_","_","_","_","_","_",22409
"FEB 1970","_","_","_","_","_","_",22409
"MAR 1970","_","_","_","_","_","_",22409
"ABR 1970","_","_","_","_","_","_",22409
"MAY 1970","_","_","_","_","_","_",22409
"JUN 1970","_","_","_","_","_","_",22409
"JUL 1970","_","_","_","_","_","_",22409
"AGO 1970","_","_","_","_","_","_",15269
"SEP 1970","_","_","_","_","_","_",15269
"OCT 1970","_","_","_","_","_","_",15269
"NOV 1970","_","_","_","_","_","_",15269
"DIC 1970","_","_","_","_","_","_",14231
"ENE 1971","_","_","_","_","_","_",14234
"FEB 1971","_","_","_","_","_","_",14234
"MAR 1971","_","_","_","_","_","_",14234
"ABR 1971","_","_","_","_","_","_",14234
"MAY 1971","_","_","_","_","_","_",14234
"JUN 1971","_","_","_","_","_","_",14234
"JUL 1971","_","_","_","_","_","_",14234
"AGO 1971","_","_","_","_","_","_",14234
"SEP 1971","_","_","_","_","_","_",14234
"OCT 1971","_","_","_","_","_","_",14234
"NOV 1971","_","_","_","_","_","_",14234
"DIC 1971","_","_","_","_","_","_",14234
"ENE 1972","_","_","_","_","_","_",14234
"FEB 1972","_","_","_","_","_","_",14234
"MAR 1972","_","_","_","_","_","_",14234
"ABR 1972","_","_","_","_","_","_",14234
"MAY 1972","_","_","_","_","_","_",14234
"JUN 1972","_","_","_","_","_","_",14234
"JUL 1972","_","_","_","_","_","_",14234
"AGO 1972","_","_","_","_","_","_",14234
"SEP 1972","_","_","_","_","_","_",14234
"OCT 1972","_","_","_","_","_","_",14234
"NOV 1972","_","_","_","_","_","_",14234
"DIC 1972","_","_","_","_","_","_",14234
"ENE 1973","_","_","_","_","_","_",14266
"FEB 1973","_","_","_","_","_","_",14266
"MAR 1973","_","_","_","_","_","_",14266
"ABR 1973","_","_","_","_","_","_",14266
"MAY 1973","_","_","_","_","_","_",14266
"JUN 1973","_","_","_","_","_","_",14266
"JUL 1973","_","_","_","_","_","_",14266
"AGO 1973","_","_","_","_","_","_",14266
"SEP 1973","_","_","_","_","_","_",14267
"OCT 1973","_","_","_","_","_","_",14267
"NOV 1973","_","_","_","_","_","_",14267
"DIC 1973","_","_","_","_","_","_",14267
"ENE 1974","_","_","_","_","_","_",14267
"FEB 1974","_","_","_","_","_","_",14267
"MAR 1974","_","_","_","_","_","_",14267
"ABR 1974","_","_","_","_","_","_",14267
"MAY 1974","_","_","_","_","_","_",14267
"JUN 1974","_","_","_","_","_","_",14267
"JUL 1974","_","_","_","_","_","_",14267
"AGO 1974","_","_","_","_","_","_",14267
"SEP 1974","_","_","_","_","_","_",14267
"OCT 1974","_","_","_","_","_","_",14267
"NOV 1974","_","_","_","_","_","_",14267
"DIC 1974","_","_","_","_","_","_",14267
"ENE 1975","_","_","_","_","_","_",14267
"FEB 1975","_","_","_","_","_","_",14267
"MAR 1975","_","_","_","_","_","_",14267
"ABR 1975","_","_","_","_","_","_",14267
"MAY 1975","_","_","_","_","_","_",14267
"JUN 1975","_","_","_","_","_","_",14267
"JUL 1975","_","_","_","_","_","_",14267
"AGO 1975","_","_","_","_","_","_",14267
"SEP 1975","_","_","_","_","_","_",14267
"OCT 1975","_","_","_","_","_","_",14267
"NOV 1975","_","_","_","_","_","_",14267
"DIC 1975","_","_","_","_","_","_",14267
"ENE 1976","_","_","_","_","_","_",14267
"FEB 1976","_","_","_","_","_","_",14267
"MAR 1976","_","_","_","_","_","_",14267
"ABR 1976","_","_","_","_","_","_",14267
"MAY 1976","_","_","_","_","_","_",14267
"JUN 1976","_","_","_","_","_","_",14267
"JUL 1976","_","_","_","_","_","_",14267
"AGO 1976","_","_","_","_","_","_",14267
"SEP 1976","_","_","_","_","_","_",14267
"OCT 1976","_","_","_","_","_","_",14267
"NOV 1976","_","_","_","_","_","_",14267
"DIC 1976","_","_","_","_","_","_",14267
"ENE 1977","_","_","_","_","_","_",14351
"FEB 1977","_","_","_","_","_","_",14351
"MAR 1977","_","_","_","_","_","_",14352
"ABR 1977","_","_","_","_","_","_",14352
"MAY 1977","_","_","_","_","_","_",14352
"JUN 1977","_","_","_","_","_","_",14352
"JUL 1977","_","_","_","_","_","_",14352
