"","IE_8_3.1","IE_8_3.2","IE_8_3.3","IE_8_3.4","IE_8_3.5","IE_8_3.6","IE_8_3.7","IE_8_3.8","IE_8_3.9","IE_8_3.10"
"NÚMERO SECUENCIAL",1656407,1656408,1656409,1656410,1656411,1656412,1656413,1656414,1656415,1656416
"DESCRIPCIÓN DE LA SERIE","Medios de pago de las sociedades no financieras","Medios de pago de las sociedades no financieras. Tasa de variación interanual","Otros pasivos de entidades de crédito en poder de las sociedades no financieras","Otros pasivos de entidades de crédito en poder de las sociedades no financieras. Tasa de variación interanual","Otros depósitos mantenidos por las sociedades no financieras. Tasa de variación interanual","Cesiones temporales, valores de entidades de crédito y depósitos en sucursales en el extranjero en poder de las sociedades no financieras. Tasa de variación interanual","Participaciones en fondos de inversión residentes de las sociedades no financieras","Participaciones en fondos de inversión residentes de las sociedades no financieras. Tasa de variación interanual","Participaciones en fondos de inversión de renta fija en euros de las sociedades no financieras. Tasa de variación interanual","Participaciones en resto de fondos de inversión de las sociedades no financieras. Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje"
"JUN 2008",123969296,-9.28,115745952,26.06,35.74,8.50,33516024,-23.19,-12.78,-26.88
"JUL 2008",116954404,-8.34,113528472,27.14,38.09,7.94,32588208,-24.03,-14.83,-27.28
"AGO 2008",119512898,-4.64,116155184,24.66,38.16,2.36,32052140,-24.25,-17.19,-26.82
"SEP 2008",124975472,-5.05,117115504,22.06,30.61,7.44,31174072,-24.62,-18.75,-26.75
"OCT 2008",114976959,-7.67,119789176,23.33,28.94,12.94,28052244,-32.41,-29.29,-33.52
"NOV 2008",119878276,-6.41,116463328,17.52,23.14,6.58,25804212,-37.55,-37.65,-37.52
"DIC 2008",120817765,-8.75,118340984,17.62,25.11,2.97,23701426,-42.51,-45.92,-41.24
"ENE 2009",114704007,-7.58,111541848,11.12,20.08,-7.40,24871738,-38.15,-43.42,-35.95
"FEB 2009",116231755,-5.62,111592432,8.65,16.84,-9.44,24692094,-37.88,-43.16,-35.66
"MAR 2009",114094955,-6.60,111622240,6.82,16.66,-15.22,24427494,-35.08,-41.40,-32.36
"ABR 2009",107974213,-8.07,113926264,5.82,11.72,-8.83,24270676,-33.51,-43.20,-29.36
"MAY 2009",112592837,-6.10,115730936,5.71,11.83,-9.46,24553298,-30.25,-39.42,-26.38
"JUN 2009",113995836,-8.05,112504016,-2.80,8.17,-27.69,24437836,-27.09,-37.75,-22.57
"JUL 2009",110980714,-5.11,113360728,-0.15,12.60,-28.74,25125394,-22.90,-30.88,-19.60
"AGO 2009",112998398,-5.45,114364952,-1.54,12.32,-32.46,25419230,-20.69,-28.59,-17.45
"SEP 2009",114603693,-8.30,112999920,-3.51,13.21,-38.26,25203044,-19.15,-24.35,-17.06
"OCT 2009",112580513,-2.08,109296296,-8.76,7.90,-43.99,25095882,-10.54,-14.38,-9.08
"NOV 2009",115418950,-3.72,109056864,-6.36,9.25,-41.53,25028184,-3.01,-5.57,-2.07
"DIC 2009",117486948,-2.76,112053760,-5.31,9.23,-39.87,26243008,10.72,9.32,11.21
"ENE 2010",116483700,1.55,108175576,-3.02,9.55,-36.70,26162922,5.19,-1.67,7.72
"FEB 2010",115963854,-0.23,103836008,-6.95,4.85,-40.60,26094026,5.68,-3.76,9.18
"MAR 2010",114793746,0.61,107316992,-3.86,6.32,-35.21,26305104,7.69,-5.32,12.54
"ABR 2010",113342602,4.97,107360712,-5.76,3.97,-35.39,26354932,8.59,1.09,11.17
"MAY 2010",118273323,5.05,106987688,-7.55,3.44,-41.21,25958696,5.72,-3.99,9.10
"JUN 2010",124758431,9.44,109410400,-2.75,5.93,-32.22,25218140,3.19,-15.82,9.66
"JUL 2010",119625082,7.79,111510360,-1.63,6.90,-31.85,24163636,-3.83,-24.03,3.34
"AGO 2010",121040787,7.12,110209024,-3.63,2.50,-26.39,24164954,-4.93,-25.12,2.24
"SEP 2010",117873210,2.85,113830648,0.74,5.78,-18.47,24664126,-2.14,-24.32,6.00
"OCT 2010",114884198,2.05,114084088,4.38,8.61,-12.84,24516406,-2.31,-25.25,5.91
"NOV 2010",115158222,-0.23,118416224,8.58,9.57,4.41,24008308,-4.07,-27.53,4.17
"DIC 2010",119219238,1.47,118771600,6.00,6.05,5.75,23707326,-9.66,-33.04,-1.77
"ENE 2011",114242923,-1.92,109826848,1.53,5.44,-16.60,23730912,-9.30,-35.00,-0.66
"FEB 2011",118346863,2.05,112475352,8.32,10.08,-0.53,23826730,-8.69,-35.42,0.06
"MAR 2011",122639309,6.83,114134800,6.35,7.25,1.82,23362250,-11.19,-34.53,-3.86
"ABR 2011",119627510,5.55,111324840,3.69,5.23,-3.85,23325270,-11.50,-34.70,-4.23
"MAY 2011",119472962,1.01,113289496,5.89,5.87,5.99,23213452,-10.58,-33.29,-3.62
"JUN 2011",122938558,-1.46,114699936,4.83,5.03,3.77,22608476,-10.35,-22.74,-7.11
"JUL 2011",116880054,-2.29,110572688,-0.84,-2.15,6.43,22335004,-7.57,-22.46,-3.68
