"","IE_4_5.1","IE_4_5.2","IE_4_5.3","IE_4_5.4","IE_4_5.5","IE_4_5.6","IE_4_5.7","IE_4_5.8","IE_4_5.9","IE_4_5.10","IE_4_5.11","IE_4_5.12","IE_4_5.13","IE_4_5.14","IE_4_5.15","IE_4_5.16","IE_4_5.17"
"ABR 1997",2699192,-192388,-6.65,-4.41,-7.11,-1.43,-7.33,-14.00,-10.30,-3.84,869021,27.09,3.83,18.51,96.17,862853,27.48
"MAY 1997",2638519,-174661,-6.21,-4.31,-6.59,0.87,-6.88,-13.57,-9.80,-3.38,748334,0.25,3.64,19.60,96.36,750285,1.52
"JUN 1997",2614285,-168791,-6.06,-4.66,-6.36,2.00,-6.69,-13.16,-9.35,-3.39,822096,17.40,8.67,19.04,91.33,775815,12.00
"JUL 1997",2519688,-192768,-7.11,-6.03,-7.33,-0.98,-7.58,-13.66,-10.28,-4.40,968177,15.32,8.89,20.18,91.11,916429,10.09
"AGO 1997",2491577,-186033,-6.95,-6.15,-7.11,-1.87,-7.31,-13.21,-9.97,-4.14,693389,14.25,7.95,18.72,92.05,665756,9.77
"SEP 1997",2550636,-185207,-6.77,-6.42,-6.84,2.27,-7.18,-13.51,-11.18,-3.67,914081,19.57,9.19,20.29,90.81,878518,15.24
"OCT 1997",2577052,-198899,-7.17,-6.54,-7.30,0.02,-7.57,-13.73,-12.26,-4.13,1103671,20.49,9.61,23.52,90.39,1055596,15.62
"NOV 1997",2600732,-195497,-6.99,-7.09,-6.97,-0.17,-7.22,-13.82,-11.61,-3.73,851320,14.42,9.80,21.84,90.20,816678,9.85
"DIC 1997",2566904,-180145,-6.56,-7.25,-6.42,1.72,-6.70,-14.51,-8.34,-3.28,803982,24.15,8.86,20.98,91.14,774409,19.73
"ENE 1998",2577189,-205087,-7.37,-7.73,-7.30,2.70,-7.64,-15.05,-12.97,-3.53,992924,15.43,8.53,16.51,91.47,961252,12.72
"FEB 1998",2553346,-234316,-8.41,-9.16,-8.25,4.17,-8.70,-15.90,-13.90,-4.77,857209,15.72,9.67,17.71,90.33,827442,11.86
"MAR 1998",2524004,-227550,-8.27,-8.93,-8.13,0.11,-8.46,-16.10,-14.65,-4.16,937671,30.50,9.84,18.43,90.16,903130,25.92
"ABR 1998",2442803,-256389,-9.50,-10.37,-9.32,-4.91,-9.50,-16.17,-13.85,-6.03,904106,4.04,9.81,19.59,90.19,873256,1.21
"MAY 1998",2369889,-268630,-10.18,-10.65,-10.08,-6.05,-10.25,-16.88,-15.52,-6.57,927686,23.97,9.60,19.88,90.40,895596,19.37
"JUN 1998",2332016,-282269,-10.80,-11.25,-10.70,-6.65,-10.88,-17.30,-17.04,-7.09,997042,21.28,7.59,19.89,92.41,969706,24.99
"JUL 1998",2250015,-269673,-10.70,-11.31,-10.57,-6.25,-10.75,-16.62,-17.41,-7.02,1098002,13.41,6.72,21.32,93.28,1072015,16.98
"AGO 1998",2235296,-256281,-10.29,-11.40,-10.06,-5.57,-10.23,-15.34,-16.54,-6.76,780019,12.49,6.30,19.92,93.70,774571,16.34
"SEP 1998",2256328,-294308,-11.54,-13.50,-11.12,-8.01,-11.25,-16.52,-18.00,-7.83,1045465,14.37,7.78,21.34,92.22,1024913,16.66
"OCT 1998",2267925,-309127,-12.00,-14.70,-11.42,-9.54,-11.49,-16.48,-18.56,-8.26,1178995,6.82,8.31,24.35,91.69,1155486,9.46
"NOV 1998",2270240,-330492,-12.71,-15.68,-12.08,-6.92,-12.28,-17.04,-21.27,-8.75,1055096,23.94,8.35,22.75,91.65,1033784,26.58
"DIC 1998",2233259,-333645,-13.00,-16.28,-12.33,-8.05,-12.50,-14.95,-23.28,-9.02,889064,10.58,7.58,20.13,92.42,872695,12.69
"ENE 1999",2251728,-325461,-12.63,-16.65,-11.83,-6.10,-12.04,-14.87,-21.23,-9.02,1058645,6.62,7.79,16.86,92.21,1041114,8.31
"FEB 1999",2233082,-320264,-12.54,-16.61,-11.72,-6.16,-11.95,-14.74,-21.87,-8.84,996960,16.30,9.02,17.33,90.98,969549,17.17
"MAR 1999",2202337,-321667,-12.74,-16.35,-12.00,-13.47,-11.94,-14.03,-20.81,-9.37,1105024,17.85,10.64,18.10,89.36,1060578,17.43
"ABR 1999",2144375,-298428,-12.22,-15.55,-11.53,-13.05,-11.47,-13.99,-21.65,-8.45,1043161,15.38,10.97,18.02,89.03,1006758,15.29
"MAY 1999",2076942,-292947,-12.36,-15.39,-11.74,-11.84,-11.73,-13.72,-20.79,-9.16,1129132,21.71,13.07,18.21,86.93,1067093,19.15
"JUN 1999",2045950,-286066,-12.27,-15.75,-11.53,-10.19,-11.59,-13.65,-19.73,-9.23,1128750,13.21,8.59,19.11,91.41,1085422,11.93
"JUL 1999",1980957,-269058,-11.96,-16.69,-10.96,-10.20,-10.99,-13.72,-17.66,-8.70,1163141,5.93,7.54,19.60,92.46,1130787,5.48
"AGO 1999",1980966,-254330,-11.38,-17.64,-10.10,-10.61,-10.08,-12.85,-15.17,-8.01,930179,19.25,7.03,18.65,92.97,912546,17.81
"SEP 1999",2002552,-253776,-11.25,-17.30,-9.99,-11.15,-9.94,-13.29,-14.88,-7.86,1199816,14.76,8.31,19.38,91.69,1172384,14.39
"OCT 1999",2019968,-247957,-10.93,-17.54,-9.57,-12.51,-9.45,-12.82,-13.52,-7.61,1231914,4.49,8.86,21.87,91.14,1204619,4.25
"NOV 1999",2055809,-214431,-9.45,-15.97,-8.12,-12.05,-7.95,-12.32,-11.68,-5.93,1169237,10.82,9.12,19.81,90.88,1137901,10.07
"DIC 1999",2027982,-205277,-9.19,-15.38,-8.00,-13.66,-7.77,-11.66,-11.76,-5.71,1079368,21.40,9.34,18.45,90.66,1044581,19.70
"ENE 2000",2090035,-161693,-7.18,-13.52,-5.99,-8.74,-5.87,-10.58,-9.61,-3.68,1128082,6.56,7.32,16.69,92.68,1113168,6.92
"FEB 2000",2079752,-153330,-6.87,-12.57,-5.77,-11.13,-5.54,-10.83,-8.42,-3.39,1114034,11.74,10.27,17.31,89.73,1093567,12.79
"MAR 2000",2042332,-160005,-7.27,-12.43,-6.26,-11.51,-6.03,-11.70,-8.81,-3.77,1204229,8.98,9.77,17.63,90.23,1180390,11.30
"ABR 2000",1983994,-160381,-7.48,-12.64,-6.47,-12.33,-6.22,-10.98,-4.34,-5.09,957860,-8.18,9.82,18.41,90.18,946160,-6.02
"MAY 2000",1929028,-147914,-7.12,-12.41,-6.08,-9.41,-5.93,-11.43,-4.84,-4.42,1223112,8.32,8.77,17.66,91.23,1206642,13.08
"JUN 2000",1903053,-142897,-6.98,-11.72,-6.03,-13.19,-5.70,-11.60,-5.62,-3.88,1198715,6.20,8.09,18.06,91.91,1180237,8.74
"JUL 2000",1892683,-88274,-4.46,-10.02,-3.36,-10.10,-3.06,-9.67,-4.34,-0.74,1171597,0.73,7.54,18.98,92.46,1158346,2.44
"AGO 2000",1888386,-92580,-4.67,-8.79,-3.90,-10.94,-3.61,-9.91,-4.81,-1.31,1013339,8.94,7.31,17.64,92.69,1001266,9.72
"SEP 2000",1908120,-94432,-4.72,-8.01,-4.09,-9.29,-3.87,-9.64,-4.75,-1.95,1214822,1.25,8.81,19.02,91.19,1199833,2.34
"OCT 2000",1934130,-85838,-4.25,-7.96,-3.55,-8.28,-3.36,-9.14,-4.08,-1.53,1359821,10.38,9.06,21.62,90.94,1339537,11.20
"NOV 2000",1962794,-93015,-4.52,-9.22,-3.65,-10.92,-3.36,-9.21,-3.67,-1.64,1266286,8.30,9.03,19.95,90.97,1243117,9.25
"DIC 2000",1947242,-80740,-3.98,-9.88,-2.93,-9.56,-2.68,-8.19,-2.83,-1.02,977022,-9.48,8.92,18.71,91.08,963207,-7.79
"ENE 2001",2017389,-72646,-3.48,-9.88,-2.37,-14.32,-1.89,-7.68,-1.27,-0.36,1197711,6.17,8.95,16.46,91.05,1181638,6.15
"FEB 2001",1993274,-86478,-4.16,-10.00,-3.12,-24.80,-2.23,-6.56,-1.85,-1.08,1094045,-1.79,9.55,17.11,90.45,1080261,-1.22
"MAR 2001",1981006,-61326,-3.00,-10.39,-1.66,-18.96,-0.96,-5.89,-0.66,0.38,1116527,-7.28,7.87,17.15,92.13,1101850,-6.65
"ABR 2001",1910453,-73541,-3.71,-11.54,-2.27,-5.46,-2.14,-7.74,-2.63,-0.44,1011926,5.64,10.28,17.78,89.72,979056,3.48
"MAY 2001",1898285,-30743,-1.59,-10.05,-0.03,-6.34,0.23,-4.84,0.34,1.68,1235272,0.99,11.58,18.92,88.42,1167185,-3.27
"JUN 2001",1842556,-60497,-3.18,-10.86,-1.72,-18.36,-1.02,-4.48,-1.61,0.07,1188985,-0.81,9.47,19.46,90.53,1138315,-3.55
"JUL 2001",1835738,-56945,-3.01,-11.29,-1.49,-17.93,-0.82,-4.65,0.06,0.12,1258279,7.40,8.15,20.73,91.85,1213544,4.77
"AGO 2001",1878513,-9873,-0.52,-10.42,1.24,-13.74,1.81,-2.66,3.59,2.81,1061690,4.77,8.09,19.87,91.91,1021465,2.02
"SEP 2001",1889185,-18935,-0.99,-9.82,0.62,-16.88,1.30,-1.15,2.16,1.83,1130641,-6.93,8.67,20.71,91.33,1100069,-8.31
"OCT 2001",1940909,6779,0.35,-7.07,1.68,-17.01,2.40,0.54,2.45,2.90,1477473,8.65,9.78,23.12,90.22,1420852,6.07
"NOV 2001",1985857,23063,1.18,-5.71,2.38,-13.78,2.99,2.88,2.76,3.05,1324421,4.59,9.52,21.68,90.48,1271763,2.30
"DIC 2001",1988715,41473,2.13,-3.81,3.11,-12.22,3.65,3.00,3.91,3.78,959514,-1.79,9.17,20.83,90.83,921409,-4.34
"ENE 2002",2075022,57633,2.86,-3.68,3.90,-9.42,4.36,3.92,3.08,4.71,1270019,6.04,8.69,18.57,91.31,1227237,3.86
"FEB 2002",2149908,156634,7.86,-2.77,9.61,20.87,9.26,6.61,6.08,10.53,1139766,4.18,10.02,19.23,89.98,1107676,2.54
"MAR 2002",2083103,102097,5.15,-2.39,6.41,3.04,6.52,6.00,9.48,6.14,1000369,-10.40,10.64,19.47,89.36,964180,-12.49
"ABR 2002",2060070,149617,7.83,1.75,8.84,-7.81,9.48,7.82,9.30,9.96,1247220,23.25,10.14,19.75,89.86,1200475,22.62
"MAY 2002",2002924,104639,5.51,1.50,6.18,-11.85,6.88,5.29,7.88,7.14,1238066,0.23,9.40,20.20,90.60,1190397,1.99
"JUN 2002",1962963,120407,6.53,3.41,7.07,3.02,7.21,4.22,10.26,7.49,1074375,-9.64,8.86,20.27,91.14,1036645,-8.93
"JUL 2002",1961852,126114,6.87,2.55,7.58,4.77,7.68,4.98,9.83,8.03,1317913,4.74,7.72,21.48,92.28,1280632,5.53
"AGO 2002",1983982,105469,5.61,0.89,6.36,2.57,6.48,3.48,6.79,7.27,1019106,-4.01,7.73,20.49,92.27,991775,-2.91
"SEP 2002",2006786,117601,6.22,0.98,7.08,5.88,7.12,3.91,9.11,7.64,1186710,4.96,8.78,21.41,91.22,1153144,4.82
"OCT 2002",2064512,123603,6.37,1.42,7.18,7.68,7.16,3.83,9.32,7.68,1545378,4.60,9.17,23.74,90.83,1497125,5.37
"NOV 2002",2117144,131287,6.61,1.94,7.37,5.81,7.41,3.03,10.42,8.05,1181989,-10.75,9.01,22.75,90.99,1151978,-9.42
"DIC 2002",2127018,138303,6.95,1.43,7.81,3.06,7.95,3.37,15.26,7.81,958337,-0.12,8.48,22.22,91.52,936052,1.59
"ENE 2003",2185156,110134,5.31,1.76,5.83,-2.76,6.09,2.07,10.46,6.35,1355698,6.75,8.95,18.92,91.05,1312754,6.97
"FEB 2003",2180216,30308,1.41,1.40,1.41,-15.74,2.01,-0.27,8.01,1.57,1197509,5.07,10.03,19.51,89.97,1153997,4.18
"MAR 2003",2163498,80395,3.86,2.96,4.00,-4.09,4.26,0.58,5.26,5.04,1127638,12.72,10.27,20.31,89.73,1086582,12.69
"ABR 2003",2104475,44405,2.16,0.56,2.40,-6.48,2.69,1.51,6.20,2.37,1052755,-15.59,10.22,19.91,89.78,1013609,-15.57
"MAY 2003",2035601,32677,1.63,-0.60,1.99,-7.57,2.29,0.55,4.49,2.36,1196038,-3.39,9.06,19.85,90.94,1159919,-2.56
"JUN 2003",2020367,57404,2.92,-0.39,3.47,-8.78,3.89,1.34,6.94,4.01,1199220,11.62,8.29,20.37,91.71,1161701,12.06
"JUL 2003",1995964,34112,1.74,-1.15,2.19,-8.52,2.54,-0.68,5.98,2.77,1301862,-1.22,7.37,21.93,92.63,1269788,-0.85
"AGO 2003",2016675,32693,1.65,-1.05,2.05,-9.72,2.42,-1.25,5.96,2.74,970553,-4.76,6.96,21.02,93.04,952934,-3.92
"SEP 2003",2039630,32844,1.64,-1.26,2.08,-11.27,2.50,-0.56,5.85,2.70,1283644,8.17,8.08,22.36,91.92,1267798,9.94
"OCT 2003",2096606,32094,1.55,-2.36,2.16,-11.26,2.58,-1.01,5.78,2.94,1557842,0.81,8.51,24.14,91.49,1528802,2.12
"NOV 2003",2143206,26062,1.23,-2.91,1.87,-8.71,2.19,-1.34,5.08,2.57,1288834,9.04,8.31,23.13,91.69,1277742,10.92
"DIC 2003",2181248,54230,2.55,-2.40,3.27,-1.38,3.40,-1.01,6.96,3.83,1136470,18.59,7.94,23.10,92.06,1128735,20.58
"ENE 2004",2232560,47404,2.17,-2.28,2.80,-0.01,2.88,-1.39,3.77,3.79,1390153,2.54,8.18,18.63,91.82,1377754,4.95
"FEB 2004",2219300,39084,1.79,-3.43,2.56,-0.82,2.66,-2.24,3.89,3.66,1382830,15.48,9.71,20.93,90.29,1370063,18.72
"MAR 2004",2181546,18048,0.83,-4.43,1.63,-0.02,1.68,-3.05,3.46,2.55,1420641,25.98,10.20,22.19,89.80,1409227,29.69
"ABR 2004",2162405,57930,2.75,-2.65,3.57,2.29,3.61,-2.53,4.48,5.05,1256809,19.38,10.09,21.94,89.91,1233538,21.70
"MAY 2004",2090702,55101,2.71,-4.18,3.77,4.92,3.74,-2.19,5.49,4.96,1278684,6.91,9.60,22.11,90.40,1252842,8.01
"JUN 2004",2054113,33746,1.67,-5.06,2.74,4.93,2.68,-2.48,2.98,3.96,1391623,16.04,8.43,22.30,91.57,1350173,16.22
"JUL 2004",2014218,18254,0.91,-5.29,1.86,4.25,1.79,-2.80,2.20,2.89,1486989,14.22,7.45,23.45,92.55,1450449,14.23
"AGO 2004",2049639,32964,1.63,-4.78,2.56,5.40,2.48,-1.96,3.32,3.48,1125142,15.93,7.23,22.01,92.77,1111323,16.62
"SEP 2004",2050514,10884,0.53,-5.52,1.44,4.81,1.35,-2.87,1.73,2.35,1475755,14.97,8.36,24.18,91.64,1444839,13.96
"OCT 2004",2075811,-20795,-0.99,-7.20,-0.07,3.58,-0.17,-3.62,0.85,0.50,1472055,-5.51,8.68,26.26,91.32,1433957,-6.20
"NOV 2004",2121089,-22117,-1.03,-7.07,-0.15,3.59,-0.25,-4.00,0.74,0.47,1446781,12.26,8.63,24.87,91.37,1414016,10.67
"DIC 2004",2112715,-68533,-3.14,-8.16,-2.45,-0.05,-2.52,-5.32,-5.66,-1.16,1223322,7.64,7.49,23.64,92.51,1182922,4.80
"ENE 2005",2176599,-55961,-2.51,-17.85,-0.43,9.01,-0.68,-2.94,1.79,-0.60,1284958,-7.57,9.30,20.17,90.70,1255247,-8.89
"FEB 2005",2165420,-53880,-2.43,-17.76,-0.31,2.18,-0.38,-2.31,1.55,-0.28,1230315,-11.03,10.98,21.72,89.02,1175183,-14.22
"MAR 2005",2144835,-36711,-1.68,-17.96,0.63,5.07,0.50,-0.36,3.59,0.14,1307345,-7.97,10.76,22.91,89.24,1247743,-11.46
"ABR 2005",2095945,-66460,-3.07,-17.26,-1.04,3.38,-1.17,-2.30,-1.20,-0.90,1322797,5.25,10.07,22.68,89.93,1277504,3.56
"MAY 2005",2007393,-83309,-3.98,-12.88,-2.72,7.28,-3.01,-2.26,-5.37,-2.75,1429695,11.81,9.40,22.85,90.60,1374745,9.73
"JUN 2005",1974860,-79253,-3.86,-12.26,-2.62,10.36,-3.01,-2.48,-5.48,-2.68,1566969,12.60,8.49,22.88,91.51,1559594,15.51
"JUL 2005",1989417,-24801,-1.23,-9.54,-0.05,15.07,-0.50,-0.77,-2.91,0.01,1570198,5.60,7.40,24.16,92.60,1513557,4.35
"AGO 2005",2019110,-30529,-1.49,-7.68,-0.66,17.87,-1.19,-1.45,-4.52,-0.46,1298453,15.40,7.09,21.77,92.91,1271189,14.39
"SEP 2005",2013286,-37228,-1.82,-6.10,-1.22,23.51,-1.91,-1.95,-4.96,-1.33,1617951,9.64,8.58,24.53,91.42,1612382,11.60
"OCT 2005",2052861,-22950,-1.11,-11.33,0.30,33.15,-0.61,-0.74,-3.26,-0.10,1637186,11.22,9.05,27.18,90.95,1611754,12.40
"NOV 2005",2095580,-25509,-1.20,-10.11,0.01,29.00,-0.82,-0.50,-3.17,-0.47,1569481,8.48,9.10,25.24,90.90,1502335,6.25
"DIC 2005",2102937,-9778,-0.46,-6.82,0.36,29.70,-0.45,-0.75,-3.01,0.13,1329617,8.69,8.16,23.95,91.84,1295128,9.49
"ENE 2006",2171503,-5096,-0.23,4.86,-0.80,19.20,-1.39,-2.07,-6.18,-0.31,1472539,14.60,10.85,21.25,89.15,1417533,12.93
"FEB 2006",2169277,3857,0.18,5.85,-0.47,25.56,-1.21,-1.94,-5.29,-0.28,1366664,11.08,11.75,21.83,88.25,1312808,11.71
"MAR 2006",2148530,3695,0.17,6.54,-0.56,20.27,-1.19,-3.48,-7.95,0.62,1555516,18.98,11.33,22.42,88.67,1494655,19.79
"ABR 2006",2075676,-20269,-0.97,2.53,-1.39,16.67,-1.94,-2.95,-6.51,-0.85,1304213,-1.40,11.17,22.60,88.83,1269249,-0.65
"MAY 2006",2004528,-2865,-0.14,-1.64,0.05,9.27,-0.25,-3.45,-4.26,1.26,1637566,14.54,10.19,22.60,89.81,1595118,16.03
"JUN 2006",1959754,-15106,-0.76,-4.29,-0.30,8.76,-0.61,-3.24,-2.31,0.34,1655753,5.67,9.21,22.94,90.79,1591305,2.03
"JUL 2006",1954984,-34433,-1.73,-4.37,-1.39,6.26,-1.66,-3.80,-2.25,-1.03,1670892,6.41,10.07,24.30,89.93,1594903,5.37
"AGO 2006",1983677,-35433,-1.75,-5.49,-1.29,4.50,-1.49,-4.25,-0.80,-0.94,1322920,1.88,10.58,22.17,89.42,1252414,-1.48
"SEP 2006",1966166,-47120,-2.34,-7.21,-1.70,1.28,-1.80,-4.60,-1.37,-1.21,1674735,3.51,11.98,24.92,88.02,1628793,1.02
"OCT 2006",1992836,-60025,-2.92,0.58,-3.35,-4.84,-3.30,-5.65,-3.25,-2.75,1819192,11.12,13.17,26.95,86.83,1740195,7.97
"NOV 2006",2023164,-72416,-3.46,-0.05,-3.87,-4.27,-3.86,-6.14,-3.17,-3.46,1660499,5.80,13.97,24.83,86.03,1558522,3.74
"DIC 2006",2022873,-80064,-3.81,-3.25,-3.87,-5.72,-3.81,-6.36,-3.40,-3.28,1386283,4.26,16.96,23.90,83.04,1243877,-3.96
"ENE 2007",2082508,-88995,-4.10,-2.42,-4.30,-5.45,-4.26,-7.02,-4.51,-3.58,1653150,12.27,15.45,20.97,84.55,1539604,8.61
"FEB 2007",2075275,-94002,-4.33,-2.63,-4.54,-7.07,-4.45,-7.36,-4.37,-3.80,1408327,3.05,12.49,22.28,87.51,1365215,3.99
"MAR 2007",2059451,-89079,-4.15,-2.43,-4.36,-5.73,-4.31,-6.70,-3.49,-3.91,1564432,0.57,12.35,22.91,87.65,1518896,1.62
"ABR 2007",2023124,-52552,-2.53,0.28,-2.88,-2.19,-2.91,-6.01,-1.19,-2.48,1385980,6.27,12.19,22.84,87.81,1359927,7.14
"MAY 2007",1973231,-31297,-1.56,0.35,-1.80,1.76,-1.93,-5.45,1.76,-1.74,1625492,-0.74,11.71,22.90,88.29,1586777,-0.52
"JUN 2007",1965869,6115,0.31,2.97,-0.03,1.97,-0.10,-4.59,4.60,0.13,1582127,-4.45,11.27,23.39,88.73,1528767,-3.93
"JUL 2007",1970338,15354,0.79,2.06,0.63,3.15,0.53,-3.87,7.29,0.35,1754918,5.03,10.30,24.89,89.70,1694359,6.24
"AGO 2007",2028296,44619,2.25,2.19,2.26,6.05,2.12,-2.81,9.75,1.84,1287035,-2.71,9.91,22.51,90.09,1248734,-0.29
"SEP 2007",2017363,51197,2.60,1.61,2.73,5.91,2.61,-2.65,10.78,2.36,1595921,-4.71,12.05,25.50,87.95,1584035,-2.75
"OCT 2007",2048577,55741,2.80,-3.24,3.56,6.08,3.47,-2.17,12.64,3.14,1911389,5.07,12.19,27.67,87.81,1869650,7.44
"NOV 2007",2094473,71309,3.52,-4.41,4.54,8.33,4.40,-1.44,16.06,3.65,1592018,-4.12,11.94,25.61,88.06,1540270,-1.17
"DIC 2007",2129547,106674,5.27,-2.28,6.18,11.90,5.98,-0.77,19.89,4.85,1261319,-9.01,10.66,25.29,89.34,1223197,-1.66
"ENE 2008",2261925,179417,8.62,-1.04,9.78,20.03,9.42,2.08,27.14,7.86,1581360,-4.34,12.44,21.61,87.56,1534804,-0.31
"FEB 2008",2315331,240056,11.57,0.40,12.95,33.46,12.22,3.61,36.12,9.92,1427302,1.35,13.04,22.79,86.96,1433895,5.03
"MAR 2008",2300975,241524,11.73,0.37,13.16,18.27,12.98,4.54,44.22,9.41,1285644,-17.82,13.08,23.63,86.92,1258182,-17.16
"ABR 2008",2338517,315393,15.59,-0.50,17.65,22.41,17.48,7.08,52.88,13.56,1459666,5.32,12.97,24.29,87.03,1416280,4.14
"MAY 2008",2353575,380344,19.28,2.32,21.45,23.42,21.38,10.86,62.96,16.33,1384915,-14.80,11.88,24.29,88.12,1358012,-14.42
"JUN 2008",2390424,424555,21.60,3.21,24.01,26.18,23.93,13.55,70.69,17.73,1419348,-10.29,10.85,25.09,89.15,1380772,-9.68
"JUL 2008",2426916,456578,23.17,5.65,25.39,26.80,25.33,15.16,70.69,18.89,1626466,-7.32,9.86,26.45,90.14,1579837,-6.76
"AGO 2008",2530001,501705,24.74,8.10,26.72,27.83,26.68,16.35,71.02,19.90,1049939,-18.42,9.29,24.35,90.71,1029885,-17.53
"SEP 2008",2625368,608005,30.14,12.21,32.36,31.36,32.39,22.00,85.57,24.29,1501595,-5.91,11.55,28.59,88.45,1508428,-4.77
"OCT 2008",2818026,769449,37.56,20.93,39.53,41.74,39.45,29.15,99.50,30.15,1584811,-17.09,11.37,30.44,88.63,1569834,-16.04
"NOV 2008",2989269,894796,42.72,22.25,45.11,45.10,45.11,37.05,106.72,34.74,1162614,-26.97,11.11,28.35,88.89,1134563,-26.34
"DIC 2008",3128963,999416,46.93,22.73,49.62,47.27,49.70,42.82,108.10,38.29,1117577,-11.40,9.22,27.44,90.78,1093148,-10.63
"ENE 2009",3327801,1065876,47.12,10.63,50.12,41.46,50.36,47.81,98.86,39.04,1125773,-28.81,10.59,23.69,89.41,1111730,-27.57
"FEB 2009",3481859,1166528,50.38,14.53,53.36,31.39,54.06,55.66,99.29,42.39,1016678,-28.77,11.38,25.22,88.62,998967,-30.33
"MAR 2009",3605402,1304427,56.69,23.91,59.49,64.22,59.36,61.74,97.61,48.80,1061112,-17.46,11.42,26.47,88.58,1046948,-16.79
"ABR 2009",3644880,1306363,55.86,33.26,57.72,63.09,57.57,62.07,89.97,47.79,1031420,-29.34,10.81,27.08,89.19,1031219,-27.19
"MAY 2009",3620139,1266564,53.81,38.39,55.07,59.45,54.95,59.83,78.47,47.22,1110014,-19.85,9.83,26.62,90.17,1110227,-18.25
"JUN 2009",3564889,1174465,49.13,35.68,50.25,54.04,50.32,55.33,65.31,44.47,1274698,-10.19,8.45,27.70,91.55,1259821,-8.76
"JUL 2009",3544095,1117179,46.03,41.72,46.38,53.26,46.18,50.65,55.78,42.21,1403023,-13.74,7.92,29.98,92.08,1382787,-12.47
"AGO 2009",3629080,1099079,43.44,46.17,43.24,50.71,43.03,46.71,46.87,40.94,944823,-10.01,7.27,26.95,92.73,963096,-6.49
"SEP 2009",3709447,1084079,41.29,45.31,40.98,48.24,40.78,43.33,41.82,39.87,1354836,-9.77,9.48,30.88,90.52,1398208,-7.31
"OCT 2009",3808353,990327,35.14,43.59,34.50,49.37,34.08,36.62,32.84,33.92,1357868,-14.32,9.32,32.90,90.68,1380019,-12.09
"NOV 2009",3868946,879677,29.43,46.20,28.22,44.40,27.76,29.14,24.50,28.55,1204027,3.56,8.92,29.75,91.08,1188826,4.78
"DIC 2009",3923603,794640,25.40,49.04,23.85,39.63,23.43,23.07,18.90,25.18,1137565,1.79,7.54,28.34,92.46,1105689,1.15
"ENE 2010",4048493,720692,21.66,53.79,19.71,32.21,19.38,16.94,16.31,21.01,1050233,-6.71,9.01,25.01,90.99,1030453,-7.31
"FEB 2010",4130625,648766,18.63,50.94,16.63,32.01,16.21,11.57,13.01,18.42,1028222,1.14,9.84,26.74,90.16,1023978,2.50
"MAR 2010",4166613,561211,15.57,44.26,13.66,28.77,13.23,7.57,10.26,15.60,1189327,12.08,9.92,28.08,90.08,1177654,12.48
"ABR 2010",4142425,497545,13.65,39.97,11.83,30.75,11.28,4.45,7.35,14.28,1078509,4.57,9.55,28.66,90.45,1069488,3.71
"MAY 2010",4066202,446063,12.32,36.05,10.59,32.56,9.97,2.68,6.85,12.78,1182100,6.49,9.16,28.97,90.84,1197742,7.88
"JUN 2010",3982368,417479,11.71,35.28,9.95,30.59,9.34,1.76,6.31,12.18,1297611,1.80,7.61,29.42,92.39,1244376,-1.23
"JUL 2010",3908578,364483,10.28,32.27,8.58,28.58,7.99,0.50,5.04,10.75,1397265,-0.41,6.86,31.51,93.14,1386439,0.26
"AGO 2010",3969661,340581,9.38,30.11,7.78,27.29,7.22,0.03,3.94,10.03,1010216,6.92,6.62,28.59,93.38,1020630,5.97
"SEP 2010",4017763,308316,8.31,26.29,6.86,23.09,6.39,-0.72,2.75,9.22,1390283,2.62,8.78,31.88,91.22,1441850,3.12
"OCT 2010",4085976,277623,7.29,23.85,5.94,22.36,5.42,-1.40,1.11,8.35,1346087,-0.87,8.80,33.12,91.20,1295279,-6.14
"NOV 2010",4110294,241348,6.24,24.09,4.77,21.47,4.24,-2.39,-0.37,7.21,1257479,4.44,8.60,30.86,91.40,1242570,4.52
"DIC 2010",4100073,176470,4.50,24.74,2.91,19.50,2.41,-3.37,-3.67,5.84,1189818,4.59,7.83,28.24,92.17,1165187,5.38
"ENE 2011",4231003,182510,4.51,25.48,2.88,21.01,2.35,-3.43,-3.86,5.71,1116019,6.26,9.21,26.03,90.79,1115923,8.29
"FEB 2011",4299263,168638,4.08,23.98,2.49,21.28,1.91,-3.70,-4.73,5.36,1011418,-1.63,9.33,28.08,90.67,1004337,-1.92
"MAR 2011",4333669,167056,4.01,20.81,2.59,18.85,2.07,-3.94,-4.39,5.53,1154903,-2.89,9.62,29.94,90.38,1148103,-2.51
"ABR 2011",4269360,126935,3.06,16.30,1.92,13.20,1.53,-3.61,-2.83,4.08,1067046,-1.06,9.02,31.13,90.98,1083201,1.28
"MAY 2011",4189659,123457,3.04,12.45,2.19,10.50,1.91,-3.51,-2.95,4.67,1288914,9.04,8.00,30.28,92.00,1305772,9.02
"JUN 2011",4121801,139433,3.50,9.30,2.97,13.69,2.59,-2.71,-1.67,5.11,1312519,1.15,7.23,31.54,92.77,1304280,4.81
"JUL 2011",4079742,171164,4.38,8.80,3.96,15.48,3.55,-1.79,-0.20,5.91,1349286,-3.43,6.66,33.44,93.34,1345667,-2.94
"AGO 2011",4130927,161266,4.06,7.17,3.77,14.71,3.40,-1.71,-0.63,5.79,1061303,5.06,6.23,30.37,93.77,1075192,5.35
