"","IE_7_2.1","IE_7_2.2","IE_7_2.3","IE_7_2.4","IE_7_2.5","IE_7_2.6","IE_7_2.7","IE_7_2.8","IE_7_2.9","IE_7_2.10","IE_7_2.11","IE_7_2.12","IE_7_2.13","IE_7_2.14","IE_7_2.15","IE_7_2.16"
"NÚMERO SECUENCIAL",2386887,2386889,2386894,2386913,2386914,2386895,2408038,2408040,2386896,2408037,2408039,2386897,2386888,2386898,2386899,2386900
"DESCRIPCIÓN DE LA SERIE","CF. Neto (VNA-VNP)","CF.  Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. VNA","CF. Inversión directa.VNP","CF. Inversión de cartera. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNA","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNP","CF. Otra inversión. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Otra inversión. Total sectores excluido el Banco de España. VNA","CF. Otra inversión. Total sectores excluido el Banco de España. VNP","CF. Derivados finan. y opciones de compra de acciones. Total sectores excluido el BE. Neto","CF.  Banco de España. Neto (VNA-VNP)","CF. Activos de reserva. Todas las monedas excepto moneda nacional. Banco de España. VNA","CF. Activos netos del Banco de España frente al Eurosistema. Banco de España. Neto (VNA-VNP)","CF. Otros activos netos del Banco de España. Neto (VNA-VNP)"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"JUL 2007",-10048,-12157,3985,4087,102,-14466,-2733,11733,-3426,7892,11318,1750,2109,35,-949,3023
"AGO 2007",-9404,6317,1533,-3139,-4672,844,-3488,-4332,4449,7095,2647,-508,-15721,6,-15663,-64
"SEP 2007",-9431,-434,8575,9891,1315,-7140,-7888,-748,-2934,9975,12909,1065,-8996,-336,-9339,679
"OCT 2007",-9250,-7801,3448,26697,23250,15592,-4744,-20336,-29822,-2611,27211,2981,-1448,111,-3692,2132
"NOV 2007",-10030,-2835,2174,4745,2570,-5014,-4833,181,2267,20699,18432,-2262,-7195,-35,-7757,596
"DIC 2007",-3940,-1476,5292,13117,7826,2895,-1620,-4515,-12042,-24253,-12210,2380,-2464,71,-2268,-266
"ENE 2008",-10785,-5282,-11542,4439,15981,1729,-12890,-14619,3563,34490,30928,968,-5502,-123,-5483,104
"FEB 2008",-10257,-10056,-138,2925,3063,12211,10051,-2160,-23761,11979,35740,1632,-201,36,-61,-177
"MAR 2008",-8849,-15840,2635,3391,756,17713,3394,-14319,-36313,-40423,-4110,126,6990,-22,7297,-285
"ABR 2008",-9761,6459,-898,2419,3317,-1221,-2721,-1500,6806,15711,8904,1772,-16220,-47,-15869,-304
"MAY 2008",-9476,-12082,2114,3647,1532,-16856,-2041,14815,-1265,9737,11002,3925,2606,-61,3443,-776
"JUN 2008",-9742,-11067,-6564,5729,12293,-8793,-1908,6886,3424,13732,10308,867,1325,-87,2056,-645
"JUL 2008",-7759,345,779,3338,2559,-7894,-698,7196,6107,1912,-4195,1352,-8104,184,-8024,-264
"AGO 2008",-7466,-2060,3356,3125,-231,-8357,-63,8294,3562,10418,6856,-621,-5407,146,-5621,68
"SEP 2008",-7949,-9965,1551,4983,3432,-4123,-4268,-145,-7073,-12482,-5409,-319,2016,100,1569,347
"OCT 2008",-7812,-15794,3850,6428,2578,11183,-10146,-21330,-30948,-12603,18345,120,7983,28,5640,2315
"NOV 2008",-7349,136,1834,3713,1879,2999,-420,-3418,-1999,-7015,-5017,-2697,-7485,318,-8132,328
"DIC 2008",-2236,5982,1493,7985,6492,2369,707,-1663,2177,-13127,-15304,-59,-8218,172,-8528,138
"ENE 2009",-6307,-9190,4720,5148,428,-9799,-6559,3240,-3840,7549,11390,-271,2883,16,2439,428
"FEB 2009",-6240,-1101,-144,1481,1625,3718,-2275,-5993,-4999,-11304,-6305,323,-5140,84,-4972,-251
"MAR 2009",-6638,-9287,4932,2187,-2746,-1050,2026,3076,-13784,-9103,4681,614,2649,165,5382,-2898
"ABR 2009",-2163,-7250,-1324,1139,2464,-1196,-518,678,-1789,-886,903,-2941,5087,19,6379,-1311
"MAY 2009",-3296,-1001,687,1128,441,3183,5183,2000,-5531,-4617,915,660,-2295,120,-1177,-1237
"JUN 2009",-4015,5071,-8840,-3652,5188,6382,6890,507,6145,7424,1279,1383,-9086,187,-8321,-952
