"","IE_08.11.01","IE_08.11.02","IE_08.11.03","IE_08.11.04","IE_08.11.05","IE_08.11.06","IE_08.11.07","IE_08.11.08","IE_08.11.09","IE_08.11.10","IE_08.11.11","IE_08.11.12","IE_08.11.13","IE_08.11.14","IE_08.11.15","IE_08.11.16","IE_08.11.17"
"NÚMERO SECUENCIAL",1625883,1625884,1625870,1625871,1625872,1625873,1625874,1625875,1625885,1625876,1625886,1625877,1625878,1625879,1625880,1625881,1625882
"DESCRIPCIÓN DE LA SERIE","I.I.C. FIM + FIAMM. Patrimonio. Dato fin de mes","I.I.C. FIM + FIAMM. Variación mensual patrimonio. Dato fin de mes        ","I.I.C. FIM + FIAMM. Suscripción neta. ","I.I.C. FIM + FIAMM. Rentabilidad acumulada anual.     ","I.I.C. FMM. Patrimonio. Dato fin de mes","I.I.C. FMM. Variación mensual patrimonio. Dato fin de mes","I.I.C. FMM. Suscripción neta.   ","I.I.C. FMM. Rentabilidad acumulada anual.  ","I.I.C. FIM.Renta fija. Patrimonio.  Dato fin de mes       ","I.I.C. FIM. Renta fija. Variación mensual patrimonio. Dato fin de mes      ","I.I.C. FIM.Renta fija. Suscripción neta. ","I.I.C. FIM. Renta fija.  Rentabilidad acumulada anual. ","I.I.C. FIM. Renta variable. Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable  Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable. Suscripción neta.       ","I.I.C. FIM.Renta variable.  Rentabilidad acumulada anual. ","I.I.C. FIM. Resto. Patrimonio. Dato fin de mes       "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros"
"NOV 1998",203122020.0,7870080.0,4318192.5,8.706,53742188.0,-341328.0,-460612.6,3.191,120368360.0,5992704.0,1637000.0,9.476,25860606.0,2009970.0,3141805.0,"_",3150866.0
"DIC 1998",203774050.0,652032.0,-1143197.8,8.460,50643168.0,-3099020.0,-3239262.3,3.100,122992930.0,2624568.0,1183000.0,9.105,26637914.0,777308.0,913064.5,22.510,3500030.0
"ENE 1999",206601090.0,2827040.0,1765673.4,7.369,48355832.0,-2287336.0,-2183907.0,3.000,126361810.0,3368880.0,2161000.0,8.014,28038344.0,1400430.0,1788580.4,17.533,3845106.0
"FEB 1999",209387500.0,2786416.0,2733949.0,5.421,47398880.0,-956952.0,-1212104.4,3.099,128859320.0,2497512.0,2819000.0,5.853,29023458.0,985114.0,1127053.5,9.954,4105844.0
"MAR 1999",210870880.0,1483376.0,1242512.0,3.175,46968856.0,-430024.0,-478566.8,2.967,129972380.0,1113064.0,632000.0,4.035,29580572.0,557114.0,1089078.9,0.192,4349080.0
"ABR 1999",213620290.0,2749408.0,707000.0,4.427,46447520.0,-521336.0,-601000.0,2.952,131785750.0,1813368.0,600000.0,5.321,30842848.0,1262276.0,708000.0,3.789,4544166.0
"MAY 1999",213568380.0,-51904.0,758000.0,3.613,45816248.0,-631272.0,-658000.0,2.857,131819900.0,34144.0,373000.0,4.078,31275616.0,432768.0,1043000.0,3.067,4656606.0
"JUN 1999",212174540.0,-1393840.0,-1586000.0,3.068,44999836.0,-816412.0,-829000.0,2.647,130055210.0,-1764688.0,-1532000.0,3.140,32406312.0,1130696.0,775000.0,3.775,4713178.0
"JUL 1999",207558800.0,-4615744.0,-1886000.0,1.205,44488320.0,-511516.0,-552000.0,2.569,125234210.0,-4821000.0,-2429000.0,1.444,33552940.0,1146628.0,1095000.0,-1.764,4283327.0
"AGO 1999",208172560.0,613760.0,-610000.0,5.156,44525092.0,36772.0,-13000.0,2.477,124848100.0,-386112.0,-1144000.0,3.626,34051856.0,498916.0,547000.0,15.787,4747507.0
"SEP 1999",205194660.0,-2977904.0,-1787000.0,5.793,44312952.0,-212140.0,-263000.0,2.614,123970050.0,-878048.0,-2277000.0,3.382,34700504.0,648648.0,753000.0,20.056,2211175.0
"OCT 1999",202796300.0,-2398352.0,-3856000.0,4.395,43692660.0,-620292.0,-648000.0,2.060,121589880.0,-2380168.0,-3623000.0,2.424,34908796.0,208292.0,415000.0,14.985,2604970.0
"NOV 1999",204582830.0,1786528.0,-3094000.0,4.550,43061164.0,-631496.0,-690000.0,1.981,120862000.0,-727880.0,-2280000.0,2.102,36609248.0,1700452.0,-124000.0,16.769,4050402.0
"DIC 1999",206293790.0,1710960.0,-2884000.0,5.829,42598008.0,-463156.0,-516000.0,1.843,119483650.0,-1378352.0,-2901000.0,2.216,42715844.0,6106596.0,533000.0,23.507,1496283.0
"ENE 2000",200926240.0,-5367552.0,-3419000.0,4.098,41314068.0,-1283940.0,-1350000.0,1.767,114779150.0,-4704496.0,-3823000.0,0.853,43113528.0,397684.0,1754000.0,17.983,1719495.0
"FEB 2000",204731810.0,3805568.0,-2174756.5,7.451,40080824.0,-1233244.0,-1287596.6,1.542,113271300.0,-1507848.0,-3319984.0,2.636,49503684.0,6390156.0,2432824.0,29.203,1875988.0
"MAR 2000",204723760.0,-8048.0,361676.5,7.851,38668736.0,-1412088.0,-1481768.3,1.538,111537450.0,-1733856.0,-2274771.5,3.096,52403152.0,2899468.0,4118216.3,29.011,2114418.0
"ABR 2000",203356930.0,-1366832.0,-351052.6,6.350,37966184.0,-702552.0,-758971.4,1.518,108475620.0,-3061824.0,-1273014.3,1.919,54659864.0,2256712.0,1680933.0,23.945,2255251.0
"MAY 2000",198870660.0,-4486272.0,-1341446.1,5.654,36946372.0,-1019812.0,-1071713.8,1.542,107541390.0,-934232.0,-1788072.6,1.908,52188784.0,-2471080.0,1518340.3,20.017,2194114.0
"JUN 2000",198132880.0,-737776.0,-1011542.4,5.539,36056260.0,-890112.0,-975110.0,1.701,107139270.0,-402120.0,-739074.8,2.314,52693944.0,505160.0,754931.8,17.505,2243395.0
"JUL 2000",196546900.0,-1585984.0,-1986222.5,7.630,35132800.0,-923460.0,-1013327.1,1.883,105900340.0,-1238936.0,-1675874.9,3.773,53279184.0,585240.0,702979.5,22.206,2194516.0
"AGO 2000",198993980.0,2447088.0,-858614.9,8.848,34821304.0,-311496.0,-400060.9,2.058,105416940.0,-483392.0,-915166.8,4.037,56399376.0,3120192.0,456612.7,25.629,2356369.0
"SEP 2000",196306380.0,-2687600.0,-709213.9,8.859,34174140.0,-647164.0,-689977.4,2.287,104457550.0,-959392.0,-973948.8,4.545,55334868.0,-1064508.0,954712.3,23.569,2339812.0
"OCT 2000",194508910.0,-1797472.0,-1640658.0,7.577,33740992.0,-433148.0,-529689.1,2.547,103202050.0,-1255504.0,-1424715.1,4.382,55196844.0,-138024.0,313746.3,18.165,2369024.0
"NOV 2000",188117120.0,-6391792.0,-1122388.5,1.421,33316412.0,-424580.0,-530685.1,2.757,102025600.0,-1176448.0,-701922.3,2.343,50450284.0,-4746560.0,110218.9,-1.018,2324820.0
"DIC 2000",186068370.0,-2048752.0,-1154532.3,-1.693,33368090.0,51678.0,-67497.4,2.995,101189550.0,-836048.0,-782657.5,1.449,49249396.0,-1200888.0,-304377.4,-11.071,2261323.0
