"","IE_6_2.1","IE_6_2.2","IE_6_2.3","IE_6_2.4","IE_6_2.5","IE_6_2.6","IE_6_2.7","IE_6_2.8","IE_6_2.9","IE_6_2.10","IE_6_2.11","IE_6_2.12","IE_6_2.13","IE_6_2.14"
"NÚMERO SECUENCIAL",2359317,2332388,2324922,2324345,2324348,2327192,2359319,2359320,2324955,2359307,2359311,2359313,2359314,2359315
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL","SEC2010.AAPP.ORGANISMOS DE LA ADMINISTRACION CENTRAL.DEUDA SEGUN PDE.TOTAL PASIVOS","ADMINISTRACIONES PÚBLICAS . COMUNIDADES AUTÓNOMAS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PASIVOS. ","ADMINISTRACIONES PÚBLICAS . CORPORACIONES LOCALES. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL . ","PDE2010.AAPP.AASS.DEUDA SEGUN PDE.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.DEUDA EN PODER DE AAPP.","PDE2010.AAPP.DEUDA SEGUN PDE.EFECTIVO Y DEPOSITOS","PDE2010.ADMINISTRACIONES PÚBLICAS.VALORES DISTINTOS DE ACCIONES.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A LARGO PLAZO"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"ABR 2002",382309611,311428019,6256762,44574056,20604056,18704392,19257692,1883172,322073156,14561825,307511331,58353266,6816584,51536680
"MAY 2002",385278484,316221715,6234776,44138432,20645182,18704392,20666032,1910607,325210240,14484307,310725933,58157620,6595465,51562156
"JUN 2002",383191149,314017738,6308943,44379760,20987716,18704392,21207418,1937193,322292806,14414199,307878607,58961132,6705555,52255576
"JUL 2002",378385923,308229039,6310000,46209348,20948082,18704392,22014956,1990380,317289558,16854742,300434816,59105968,7297541,51808428
"AGO 2002",375565947,307528333,6320446,44315772,20711940,18704392,22014956,2027891,316530878,15233525,301297353,57007160,5785827,51221332
"SEP 2002",381131109,313337951,6370520,44145684,20660090,18704392,22087544,2052235,322406635,15970080,306436555,56672224,5422824,51249400
"OCT 2002",382507532,314276063,6479235,44346400,20867300,18704392,22165876,2095858,324471951,16490354,307981597,55939706,5085289,50854416
"NOV 2002",382559803,314585204,6558074,45851688,20859896,18704392,23999464,2111326,323318185,16950606,306367579,57130274,5227179,51903096
"DIC 2002",384145347,314705350,6869571,46470780,21521636,18577242,23999250,2134424,323778609,16007259,307771350,58232298,6014388,52217908
"ENE 2003",379076928,309495465,6679486,46605432,21633538,18577242,23914250,2164211,318696745,18674308,300022437,58215955,6711937,51504020
"FEB 2003",381225095,311454852,6736619,46589876,21780740,18577242,23914250,2129921,321321492,17540410,303781082,57773665,6342335,51431332
"MAR 2003",381976079,312389498,6797895,46810164,21888764,18577242,24487500,2080347,321750996,17907790,303843206,58144721,6219061,51925660
"ABR 2003",388748564,318165843,6882774,47844984,22052356,18577242,24774652,2079560,327822016,18027154,309794862,58846972,7130682,51716288
"MAY 2003",385293609,315249421,7400858,48056816,22160200,17168548,24742252,2123124,325767266,17726488,308040778,57403201,6788472,50614728
"JUN 2003",389134310,318363535,7106565,48247788,22377268,18577242,25538104,2158015,328272925,16960128,311312797,58703354,6532287,52171068
"JUL 2003",386587974,315152465,7461272,49008304,22592602,18577242,26203926,2216371,325061218,18116546,306944672,59310369,7397955,51912416
"AGO 2003",379466312,311043086,7458364,48113708,22262416,17168548,26579826,2239350,320350248,17108346,303241902,56876696,6607120,50269576
"SEP 2003",382788231,314047788,7526664,48121376,22285322,18577242,27770178,2257689,322273948,17046782,305227166,58256577,6738165,51518412
"OCT 2003",381214627,312044029,7624626,48403100,22335792,18577242,27770178,2256437,320483527,16773089,303710438,58474645,6582185,51892460
"NOV 2003",381202624,314337967,7689128,47432000,22245144,17168548,27670178,2269260,323069274,17777992,305291282,55864074,5865332,49998740
"DIC 2003",382775040,312895896,7607588,49027784,22913942,18450092,28120282,2306967,321441274,17005800,304435474,59026783,6507438,52519344
"ENE 2004",386087487,318524404,7372096,50072516,22929188,17168548,29979282,2322894,324875677,16749814,308125863,58888898,7883253,51005644
"FEB 2004",385066604,317545980,7399912,49936552,22994878,17168548,29979282,2329120,324212175,14446442,309765733,58525292,7296019,51229272
"MAR 2004",388781465,321582539,7484278,50096204,23248184,18450092,32079848,2300785,326365714,15441575,310924139,60114948,7392837,52722112
"ABR 2004",389000049,321137142,7532006,50650264,23534234,18450092,32303706,2322520,325410547,13719996,311690551,61266963,8264773,53002192
"MAY 2004",389477070,322017793,7599006,50221700,23669622,18450092,32481160,2357612,326165413,15463618,310701795,60954028,7740266,53213760
"JUN 2004",390339832,323254093,7773414,50414504,23774376,18450092,33326660,2429740,326725819,13676717,313049102,61184258,7754293,53429964
"JUL 2004",384468812,317320862,7727026,51179976,24077882,17168548,33005496,2476868,321146613,15666945,305479668,60845314,7788002,53057312
"AGO 2004",380286433,314614593,7737211,50559384,23689330,18450092,34764196,2508796,316492623,13858883,302633740,61284998,7240312,54044688
"SEP 2004",386681671,321320144,7767183,50488652,23651232,18450092,34995648,2519106,323214013,15636983,307577030,60948536,7066242,53882292
"OCT 2004",378019961,312797137,7847618,50895280,23644904,17168548,34333548,2511884,316087302,14912986,301174316,59420757,6626687,52794068
"NOV 2004",387555916,322617812,8253358,51120092,23662292,18450092,36547748,2520960,321450512,15989859,305460653,63584424,5891011,57693412
"DIC 2004",389887939,323416698,8522470,52053652,24153050,18322942,36580888,2543040,320459543,15577508,304882035,66885337,6553963,60331376
"ENE 2005",396025603,327457763,8116532,53754548,24071592,18322942,35697792,2562423,325427573,17144560,308283013,68035591,7179361,60856228
"FEB 2005",391777831,322545138,8205472,54149856,24149692,18322942,35595288,2558635,320329346,14924016,305405330,68889833,7202851,61686984
"MAR 2005",394722061,324908624,8416228,55482680,24543280,18322942,36951708,2549667,321035894,15304661,305731233,71136482,6436184,64700296
"ABR 2005",388022379,322553915,8130792,53602912,24788948,18322942,39377148,2571834,319312935,12544228,306768707,66137593,5944414,60193180
"MAY 2005",382681818,325826182,8124038,45345180,24622800,18322942,39559340,2615867,324094752,13505879,310588873,55971181,5582559,50388624
"JUN 2005",393036831,325927914,8159893,55394468,24735904,18322942,39504308,2667895,324365264,12104427,312260837,66003655,5792247,60211408
"JUL 2005",376933059,319220132,8219968,46353364,24950152,18322942,40133516,2711839,317401554,12709289,304692265,56819651,6214281,50605368
"AGO 2005",373285916,316931089,8245740,45359600,24530840,18322942,40104316,2767559,314981931,11347576,303634355,55536409,5421855,50114552
"SEP 2005",390458633,323610893,8436563,55384172,24831788,18322942,40127736,2782541,321843313,12138320,309704993,65832764,5691517,60141248
"OCT 2005",377688947,320914163,8523739,44880232,24897428,18322942,39849572,2785262,319223088,11472637,307750451,55680580,5182324,50498256
"NOV 2005",382665155,325325126,8372509,46279708,24784712,18322942,40419856,2791884,325230359,12402658,312827701,54642896,3983054,50659840
"DIC 2005",393479087,322907079,8889454,57880128,25534636,18245982,39978208,2797723,323783913,11353669,312430244,66897435,4567012,62330424
"ENE 2006",377945473,317643217,8548665,47027492,25456524,18245982,38976408,2803368,319318995,12084552,307234443,55823109,4752514,51070596
